Timestamp,Event_Type,Side,Signal_State,Total_Vehicles,Cars,Trucks,Motorcycles,Emergency,Duration,Reason
2026-01-30 19:32:13,VEHICLE_COUNT,EAST,,5,4,1,0,False,,
2026-01-30 19:32:13,VEHICLE_COUNT,WEST,,3,2,1,0,False,,
2026-01-30 19:32:15,VEHICLE_COUNT,WEST,,5,5,0,0,True,,
2026-01-30 19:32:18,VEHICLE_COUNT,WEST,,5,5,0,0,False,,
2026-01-30 19:32:21,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:32:23,VEHICLE_COUNT,SOUTH,,5,4,1,0,False,,
2026-01-30 19:32:23,VEHICLE_COUNT,NORTH,,11,9,2,0,True,,
2026-01-30 19:32:23,VEHICLE_COUNT,EAST,,6,6,0,0,False,,
2026-01-30 19:32:23,VEHICLE_COUNT,WEST,,3,2,1,0,True,,
2026-01-30 19:32:23,VEHICLE_COUNT,WEST,,10,7,3,0,False,,
2026-01-30 19:32:26,SIGNAL_CHANGE,WEST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:27,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:28,VEHICLE_COUNT,WEST,,7,5,2,0,False,,
2026-01-30 19:32:29,SIGNAL_CHANGE,EAST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:30,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:32:31,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:32,VEHICLE_COUNT,WEST,,5,5,0,0,True,,
2026-01-30 19:32:33,SIGNAL_CHANGE,WEST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:33,VEHICLE_COUNT,SOUTH,,5,4,1,0,False,,
2026-01-30 19:32:34,VEHICLE_COUNT,NORTH,,10,10,0,0,False,,
2026-01-30 19:32:34,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:32:34,VEHICLE_COUNT,WEST,,5,4,1,0,False,,
2026-01-30 19:32:34,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:38,SIGNAL_CHANGE,EAST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
